Distrito,Cluster,OLT,F,S,P,Cuenta,Código QR,Capacidad,Latitud,Longitud,NOMBRE_SPLITTER,Ubicacion
COACALCO,COACALCO,COACALCO_DF,0,1,3,0107041783,TP579352,1:16,19.617887389749935,-99.09879695624113,TP579352,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0103805648,TP579352,1:16,19.617887389749935,-99.09879695624113,TP579352,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0100682095,TP579352,1:16,19.617887389749935,-99.09879695624113,TP579352,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0104708898,TP579505,1:16,19.617312606793572,-99.09917179495096,TP579505,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0141017638,TP579505,1:16,19.617312606793572,-99.09917179495096,TP579505,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0103437574,TP579505,1:16,19.617312606793572,-99.09917179495096,TP579505,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0103643766,TP579505,1:16,19.617312606793572,-99.09917179495096,TP579505,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0112253337,TP579505,1:16,19.617312606793572,-99.09917179495096,TP579505,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0101098111,TP579505,1:16,19.617312606793572,-99.09917179495096,TP579505,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0141900106,TP579505,1:16,19.617312606793572,-99.09917179495096,TP579505,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0101140483,TP579505,1:16,19.617312606793572,-99.09917179495096,TP579505,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0120435405,TP579505,1:16,19.617312606793572,-99.09917179495096,TP579505,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0102048928,TP579505,1:16,19.617312606793572,-99.09917179495096,TP579505,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0103908900,TP579505,1:16,19.617312606793572,-99.09917179495096,TP579505,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0106962822,TP579505,1:16,19.617312606793572,-99.09917179495096,TP579505,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0104732268,TP579505,1:16,19.617312606793572,-99.09917179495096,TP579505,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0143110232,TP579505,1:16,19.617312606793572,-99.09917179495096,TP579505,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0140602040,TP579505,1:16,19.617312606793572,-99.09917179495096,TP579505,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0141668190,TP579505,1:16,19.617312606793572,-99.09917179495096,TP579505,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,3,0141811103,TP579511,1:16,19.618150778615767,-99.10114623606205,TP579511,Poste
