Orden de Trabajo,Cuenta de Cliente,Centro,Almacén,Cantidad,Número de Empleado,Orden de Servicio,Fecha de Ingreso,Descripcion de Material ,Categoria de Material,Tipo de Servicio,Empresa,Causa del Soporte,Costo Unitario,Costo Total,Geocerca
33797763,0104104736,RE29,0794,1,RCEE3CMXT5206,OS-61659172,46112,FIBERHOME ONT 4GE 1POTS DUALBAND HG6145F,ONT,Soporte,RCE 3,Falla Conector Prepulido,3.6,3.6,COA_1
33797763,0104104736,RE29,0794,1,RCEE3CMXT5206,OS-61659172,46112,CONECTOR RJ45 CAT 6,Conector UTP,Soporte,RCE 3,Falla Conector Prepulido,1.89,1.89,COA_1
33797763,0104104736,RE29,0794,5,RCEE3CMXT5206,OS-61659172,46112,GRAPA P/CABLE COAX BCA CLAVO 3/4,Miselaneo,Soporte,RCE 3,Falla Conector Prepulido,7.67,38.35,COA_1
33797763,0104104736,RE29,0794,2,RCEE3CMXT5206,OS-61659172,46112,GRAPA P/CABLE TELEFONICO REDONDO BCO,Miselaneo,Soporte,RCE 3,Falla Conector Prepulido,9.07,18.14,COA_1
33797765,0103976211,RE29,1908,1,RCEE3CMXT5393,OS-61659176,46112,CINCHO NEGRO 0.36X15 CM C/100 PZAS,Miselaneo,Soporte,RCE 3,"Mala Instalación Unifibra (En Tensor, FO Ahorcada, Trayectoria)",15.99,15.99,COA_1
33797765,0103976211,RE29,1908,10,RCEE3CMXT5393,OS-61659176,46112,GRAPA P/CABLE COAX BCA CLAVO 3/4,Miselaneo,Soporte,RCE 3,"Mala Instalación Unifibra (En Tensor, FO Ahorcada, Trayectoria)",7.67,76.7,COA_1
33797765,0103976211,RE29,1908,9,RCEE3CMXT5393,OS-61659176,46112,TENSOR PARA ACOMETIDA,Miselaneo,Soporte,RCE 3,"Mala Instalación Unifibra (En Tensor, FO Ahorcada, Trayectoria)",5.97,53.73,COA_1
33797765,0103976211,RE29,1908,1,RCEE3CMXT5393,OS-61659176,46112,Drop 120m,Fibra Preconectorizada,Soporte,RCE 3,"Mala Instalación Unifibra (En Tensor, FO Ahorcada, Trayectoria)",409.96,409.96,COA_1
33797856,Hallazgos,TP03,1806,1,SOLMTCMXT0207,NA,46112,HEBILLA ACERO  5/8,Miselaneo,Mantenimiento Mayor,SOLVO COMUNICACIONES 3,NA,1.79,1.79,COA_7
33797856,Hallazgos,TP03,1806,2,SOLMTCMXT0207,NA,46112,HERRAJE TIPO D 5MM GALVANIZADO INMERSION,Miselaneo,Mantenimiento Mayor,SOLVO COMUNICACIONES 3,NA,10.29,20.58,COA_7
33797858,Hallazgos,TP03,2612,3,SOLMTCMXT0142,NA,46112,HEBILLA ACERO  5/8,Miselaneo,Mantenimiento Mayor,SOLVO COMUNICACIONES 3,NA,1.79,5.37,COA_7
33797861,Hallazgos,TP03,2614,2,SOLMTCMXT0143,NA,46112,HEBILLA ACERO  5/8,Miselaneo,Mantenimiento Mayor,SOLVO COMUNICACIONES 3,NA,1.79,3.58,COA_7
33798037,0142694270,RE29,0524,10,RCEE3CMXT4618,OS-61659381,46112,GRAPA P/CABLE COAX BCA CLAVO 3/4,Miselaneo,Addons,RCE 3,NA,7.67,76.7,COA_3
33798037,0142694270,RE29,0524,1,RCEE3CMXT4618,OS-61659381,46112,DIW362 WI-FI 2X2 4K STB 2 GB SAGEM,STB,Addons,RCE 3,NA,#N/D,#N/D,COA_3
33798297,0142762813,RE29,0064,1,RCEE3CMXT4064,OS-61659576,46112,Drop 120m,Fibra Preconectorizada,Instalación,RCE 3,NA,409.96,409.96,COA_2
33798297,0142762813,RE29,0064,1,RCEE3CMXT4064,OS-61659576,46112,ONT HUAWEI HG8145X6-10,ONT,Instalación,RCE 3,NA,537.99,537.99,COA_2
33798297,0142762813,RE29,0064,15,RCEE3CMXT4064,OS-61659576,46112,CAB UTP CAT 6 BLANCO OUTDOOR BOB 305MTS,UTP,Instalación,RCE 3,NA,6.43,96.45,COA_2
33798297,0142762813,RE29,0064,1,RCEE3CMXT4064,OS-61659576,46112,HEBILLA ACERO  5/8,Miselaneo,Instalación,RCE 3,NA,1.79,1.79,COA_2
33798297,0142762813,RE29,0064,25,RCEE3CMXT4064,OS-61659576,46112,GRAPA P/CABLE COAX BCA CLAVO 3/4,Miselaneo,Instalación,RCE 3,NA,7.67,191.75,COA_2
33798297,0142762813,RE29,0064,2,RCEE3CMXT4064,OS-61659576,46112,HERRAJE TIPO D 5MM GALVANIZADO INMERSION,Miselaneo,Instalación,RCE 3,NA,10.29,20.58,COA_2
33798297,0142762813,RE29,0064,25,RCEE3CMXT4064,OS-61659576,46112,GRAPA P/CABLE TELEFONICO REDONDO BCO,Miselaneo,Instalación,RCE 3,NA,9.07,226.75,COA_2
33798589,0130560084,RE29,0424,30,RCEE3CMXT4057,OS-61659802,46112,GRAPA P/CABLE TELEFONICO REDONDO BCO,Miselaneo,Soporte,RCE 3,Asesoría uso servicio de Telefonía,9.07,272.1,COA_2
33798589,0130560084,RE29,0424,1,RCEE3CMXT4057,OS-61659802,46112,Drop 120m,Fibra Preconectorizada,Soporte,RCE 3,Asesoría uso servicio de Telefonía,409.96,409.96,COA_2
33798589,0130560084,RE29,0424,15,RCEE3CMXT4057,OS-61659802,46112,CAB UTP CAT 6 BLANCO OUTDOOR BOB 305MTS,UTP,Soporte,RCE 3,Asesoría uso servicio de Telefonía,6.43,96.45,COA_2
33798589,0130560084,RE29,0424,1,RCEE3CMXT4057,OS-61659802,46112,FIBERHOME ONT 4GE 1POTS DUALBAND HG6145F,ONT,Soporte,RCE 3,Asesoría uso servicio de Telefonía,3.6,3.6,COA_2
